Ciclev10000001m	GO:0005515,GO:0016881,GO:0006464,GO:0005622
Ciclev10000002m	
Ciclev10000003m	GO:0005515
Ciclev10000004m	
Ciclev10000005m	GO:0005515,GO:0008270
Ciclev10000006m	
Ciclev10000007m	GO:0016874,GO:0003989,GO:0005524,GO:0006633,GO:0008152,GO:0003824
Ciclev10000008m	GO:0008233,GO:0006508,GO:0005634
Ciclev10000009m	
Ciclev10000010m	GO:0005515
Ciclev10000011m	GO:0005515
Ciclev10000012m	GO:0005515
Ciclev10000013m	GO:0005515
Ciclev10000014m	GO:0016455,GO:0006357,GO:0016592
Ciclev10000015m	
Ciclev10000016m	
Ciclev10000017m	GO:0005515
Ciclev10000018m	GO:0003843,GO:0006075,GO:0000148,GO:0016020
Ciclev10000019m	GO:0005515
Ciclev10000020m	GO:0005515
Ciclev10000021m	GO:0044267,GO:0005524,GO:0046488,GO:0016307
Ciclev10000022m	
Ciclev10000023m	GO:0005515,GO:0006468,GO:0005524,GO:0004672
Ciclev10000024m	GO:0003980,GO:0006486,GO:0016757
Ciclev10000025m	GO:0008233,GO:0006508,GO:0005634
Ciclev10000026m	
Ciclev10000027m	GO:0005515
Ciclev10000028m	
Ciclev10000029m	GO:0005515,GO:0006915,GO:0005524
Ciclev10000030m	GO:0005524,GO:0004386,GO:0003676,GO:0008026
Ciclev10000031m	GO:0005524,GO:0004386,GO:0003676,GO:0008026
Ciclev10000032m	GO:0005515
Ciclev10000033m	GO:0005524,GO:0004386,GO:0003676,GO:0016787,GO:0003677
Ciclev10000034m	GO:0005525,GO:0003924
Ciclev10000035m	GO:0005515,GO:0006468,GO:0005524,GO:0004672
Ciclev10000036m	GO:0005515,GO:0006468,GO:0005524,GO:0004672
Ciclev10000037m	GO:0007018,GO:0005524,GO:0003777
Ciclev10000038m	GO:0031072
Ciclev10000039m	GO:0016020,GO:0008158
Ciclev10000040m	GO:0005515
Ciclev10000041m	GO:0005515
Ciclev10000042m	GO:0005515
Ciclev10000043m	GO:0005515
Ciclev10000044m	GO:0005515
Ciclev10000045m	GO:0005524,GO:0004003,GO:0003677
Ciclev10000046m	GO:0031072
Ciclev10000047m	GO:0005524,GO:0003887
Ciclev10000048m	GO:0008270,GO:0006508,GO:0004222
Ciclev10000049m	GO:0008270,GO:0006508,GO:0004222
Ciclev10000050m	GO:0008270,GO:0006508,GO:0004222
Ciclev10000051m	GO:0008270,GO:0006508,GO:0004222
Ciclev10000052m	GO:0005515
Ciclev10000053m	
Ciclev10000054m	GO:0055085,GO:0042626,GO:0016021,GO:0006810,GO:0005524,GO:0016887
Ciclev10000055m	GO:0006915,GO:0005524
Ciclev10000056m	GO:0005515
Ciclev10000057m	GO:0005515
Ciclev10000058m	GO:0005515
Ciclev10000059m	
Ciclev10000060m	GO:0055085,GO:0042626,GO:0016021,GO:0006810,GO:0005524,GO:0016887
Ciclev10000061m	GO:0005515
Ciclev10000062m	
Ciclev10000063m	GO:0005515
Ciclev10000064m	GO:0005515
Ciclev10000065m	
Ciclev10000066m	GO:0006915,GO:0005524
Ciclev10000067m	
Ciclev10000068m	
Ciclev10000069m	
Ciclev10000070m	
Ciclev10000071m	
Ciclev10000072m	
Ciclev10000073m	GO:0006915,GO:0005524
Ciclev10000074m	
Ciclev10000075m	
Ciclev10000076m	
Ciclev10000077m	GO:0005524,GO:0004386,GO:0003676,GO:0005622,GO:0008026,GO:0043140,GO:0006281,GO:0006260,GO:0006310
Ciclev10000078m	GO:0006351,GO:0003899,GO:0003677,GO:0032549
Ciclev10000079m	GO:0006511,GO:0004221,GO:0008270
Ciclev10000080m	GO:0007018,GO:0005524,GO:0003777
Ciclev10000081m	GO:0031072
Ciclev10000082m	GO:0030127,GO:0008270,GO:0006888,GO:0006886
Ciclev10000083m	GO:0006468,GO:0004672,GO:0005515
Ciclev10000084m	
Ciclev10000085m	GO:0016773,GO:0048015,GO:0046854,GO:0004428
Ciclev10000086m	GO:0006260,GO:0003887,GO:0003677,GO:0000166
Ciclev10000087m	GO:0008270,GO:0003676,GO:0005622,GO:0004527
Ciclev10000088m	GO:0006418,GO:0006412,GO:0005737,GO:0005524,GO:0004812,GO:0000166
Ciclev10000089m	GO:0008152,GO:0003824
Ciclev10000090m	GO:0003676,GO:0004527,GO:0005622,GO:0008270
Ciclev10000091m	GO:0006915,GO:0005524
Ciclev10000092m	GO:0046872
Ciclev10000093m	GO:0004540,GO:0003723
Ciclev10000094m	
Ciclev10000095m	
Ciclev10000096m	GO:0005524,GO:0003677,GO:0004386,GO:0003676
Ciclev10000097m	GO:0007018,GO:0005524,GO:0003777
Ciclev10000098m	GO:0030244,GO:0016760,GO:0016020
Ciclev10000099m	GO:0005524,GO:0004386,GO:0003676,GO:0008026
Ciclev10000100m	GO:0005634,GO:0003677
Ciclev10000101m	GO:0005524,GO:0004386,GO:0003676,GO:0008026
Ciclev10000102m	
Ciclev10000103m	GO:0030244,GO:0016760,GO:0016020
Ciclev10000104m	
Ciclev10000105m	
Ciclev10000106m	GO:0006418,GO:0006412,GO:0005737,GO:0005524,GO:0004812,GO:0000166
Ciclev10000107m	
Ciclev10000108m	
Ciclev10000109m	GO:0030170,GO:0016769,GO:0009058,GO:0008168
Ciclev10000110m	GO:0005515,GO:0006468,GO:0005524,GO:0004672
Ciclev10000111m	GO:0006915,GO:0005524
Ciclev10000112m	GO:0006915,GO:0005524
Ciclev10000113m	GO:0006915,GO:0005524
Ciclev10000114m	GO:0006915,GO:0005524
Ciclev10000115m	
Ciclev10000116m	GO:0017038,GO:0016020,GO:0005524
Ciclev10000117m	GO:0030244,GO:0016760,GO:0016020
Ciclev10000118m	
Ciclev10000119m	GO:0005515,GO:0006468,GO:0005524,GO:0004672
Ciclev10000120m	GO:0004176,GO:0004252,GO:0006508,GO:0005524
Ciclev10000121m	
Ciclev10000122m	
Ciclev10000123m	GO:0006915,GO:0005524
Ciclev10000124m	GO:0006260,GO:0003887,GO:0003677,GO:0000166
Ciclev10000125m	GO:0007018,GO:0005524,GO:0003777
Ciclev10000126m	GO:0016020,GO:0015662,GO:0006812,GO:0006754,GO:0008152,GO:0003824,GO:0046872,GO:0000166
Ciclev10000127m	GO:0005515
Ciclev10000128m	GO:0051726,GO:0005634
Ciclev10000129m	GO:0016020,GO:0015662,GO:0006812,GO:0006754,GO:0008152,GO:0003824,GO:0046872,GO:0000166
Ciclev10000130m	
Ciclev10000131m	GO:0005515,GO:0007018,GO:0005524,GO:0003777
Ciclev10000132m	GO:0016020,GO:0015662,GO:0006812,GO:0006754,GO:0008152,GO:0003824,GO:0046872,GO:0000166
Ciclev10000133m	GO:0008270,GO:0006508,GO:0004222
Ciclev10000134m	GO:0016020,GO:0015662,GO:0006812,GO:0006754,GO:0008152,GO:0003824,GO:0046872,GO:0000166
Ciclev10000135m	GO:0005524,GO:0003677,GO:0004386,GO:0003676
Ciclev10000136m	GO:0006915,GO:0005524
Ciclev10000137m	GO:0005524,GO:0003677,GO:0004386,GO:0003676
Ciclev10000138m	
Ciclev10000139m	GO:0005815,GO:0000922,GO:0000226
Ciclev10000140m	GO:0016787
Ciclev10000141m	GO:0005515
Ciclev10000142m	GO:0016020,GO:0015662,GO:0006812,GO:0006754,GO:0008152,GO:0003824,GO:0046872,GO:0000166
Ciclev10000143m	GO:0005815,GO:0000922,GO:0000226
Ciclev10000144m	
Ciclev10000145m	GO:0003951,GO:0008152
Ciclev10000146m	GO:0008152,GO:0003951
Ciclev10000147m	GO:0007018,GO:0005524,GO:0003777
Ciclev10000148m	GO:0006468,GO:0004672,GO:0005515
Ciclev10000149m	
Ciclev10000150m	GO:0005975,GO:0004553
Ciclev10000151m	GO:0006915,GO:0005524
Ciclev10000152m	GO:0005975,GO:0004553
Ciclev10000153m	
Ciclev10000154m	GO:0005515
Ciclev10000155m	GO:0005515,GO:0006468,GO:0005524,GO:0004672
Ciclev10000156m	GO:0005515,GO:0006468,GO:0005524,GO:0004672
Ciclev10000157m	GO:0007018,GO:0005524,GO:0003777
Ciclev10000158m	
Ciclev10000159m	GO:0005622
Ciclev10000160m	GO:0005975,GO:0004553
Ciclev10000161m	GO:0005515
Ciclev10000162m	GO:0005515
Ciclev10000163m	GO:0005815,GO:0000922,GO:0000226
Ciclev10000164m	GO:0030127,GO:0008270,GO:0006888,GO:0006886
Ciclev10000165m	GO:0030127,GO:0008270,GO:0006888,GO:0006886
Ciclev10000166m	GO:0005815,GO:0000922,GO:0000226
Ciclev10000167m	GO:0006468,GO:0004672
Ciclev10000168m	GO:0008270,GO:0003676,GO:0005622,GO:0004527
Ciclev10000169m	GO:0005524,GO:0003677,GO:0004386,GO:0003676
Ciclev10000170m	GO:0005515
Ciclev10000171m	GO:0005975,GO:0004553,GO:0016798
Ciclev10000172m	GO:0005515
Ciclev10000173m	GO:0051726,GO:0005634
Ciclev10000174m	GO:0006468,GO:0004672,GO:0005515
Ciclev10000175m	GO:0031227,GO:0016788,GO:0006886,GO:0006505
Ciclev10000176m	GO:0006468,GO:0004672
Ciclev10000177m	GO:0016986,GO:0006352,GO:0005669
Ciclev10000178m	GO:0005515
