Phpat.001G000100.1	GO:0005089
Phpat.001G000200.1	GO:0043531
Phpat.001G000300.1	GO:0005515
Phpat.001G000400.1	GO:0003725,GO:0005622
Phpat.001G000500.1	
Phpat.001G000500.2	GO:0008168,GO:0008152
Phpat.001G000600.1	GO:0008060,GO:0008270,GO:0032312
Phpat.001G000700.1	GO:0005515
Phpat.001G000800.1	GO:0005215,GO:0006810,GO:0016020
Phpat.001G000900.1	
Phpat.001G001000.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G001100.1	GO:0016779,GO:0008152
Phpat.001G001100.2	GO:0016779,GO:0008152
Phpat.001G001100.3	GO:0016779,GO:0008152
Phpat.001G001100.4	GO:0016779,GO:0008152
Phpat.001G001200.1	
Phpat.001G001300.1	GO:0003824,GO:0008152
Phpat.001G001300.2	GO:0003824,GO:0008152
Phpat.001G001400.1	GO:0003824
Phpat.001G001400.2	GO:0003824
Phpat.001G001400.3	GO:0003824
Phpat.001G001500.1	
Phpat.001G001600.1	
Phpat.001G001700.1	GO:0003677,GO:0003899,GO:0006351
Phpat.001G001800.1	
Phpat.001G001900.1	GO:0000166,GO:0003677,GO:0003887,GO:0006260
Phpat.001G002000.1	GO:0004518,GO:0006281
Phpat.001G002100.1	
Phpat.001G002200.1	GO:0016787
Phpat.001G002200.2	GO:0016787
Phpat.001G002300.1	GO:0003723
Phpat.001G002400.1	
Phpat.001G002500.1	GO:0004751,GO:0009052
Phpat.001G002600.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G002600.2	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G002600.3	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G002700.1	GO:0008236,GO:0006508,GO:0004252
Phpat.001G002800.1	
Phpat.001G002900.1	
Phpat.001G003000.1	GO:0016491,GO:0016706,GO:0055114
Phpat.001G003000.2	GO:0016491,GO:0016706,GO:0055114
Phpat.001G003100.1	GO:0005515,GO:0005216,GO:0006811,GO:0055085,GO:0016020
Phpat.001G003100.2	GO:0005515,GO:0005216,GO:0006811,GO:0055085,GO:0016020
Phpat.001G003200.1	GO:0003824,GO:0008152,GO:0003857,GO:0016491,GO:0006631,GO:0055114
Phpat.001G003200.2	GO:0003824,GO:0008152,GO:0003857,GO:0016491,GO:0006631,GO:0055114
Phpat.001G003200.3	GO:0003824,GO:0008152,GO:0003857,GO:0016491,GO:0006631,GO:0055114
Phpat.001G003200.4	GO:0003824,GO:0008152,GO:0003857,GO:0016491,GO:0006631,GO:0055114
Phpat.001G003200.5	GO:0003824,GO:0008152,GO:0003857,GO:0016491,GO:0006631,GO:0055114
Phpat.001G003300.1	
Phpat.001G003300.2	
Phpat.001G003300.3	
Phpat.001G003400.1	
Phpat.001G003500.1	
Phpat.001G003600.1	
Phpat.001G003700.1	GO:0008270
Phpat.001G003700.2	GO:0008270
Phpat.001G003700.3	GO:0008270
Phpat.001G003700.4	GO:0008270
Phpat.001G003700.5	GO:0008270
Phpat.001G003800.1	GO:0003676
Phpat.001G003900.1	GO:0008152
Phpat.001G004000.1	GO:0031072
Phpat.001G004100.1	GO:0006508,GO:0016020
Phpat.001G004200.1	GO:0003824,GO:0008152,GO:0016742,GO:0009058
Phpat.001G004300.1	GO:0005515,GO:0003677,GO:0005634
Phpat.001G004300.2	GO:0003677,GO:0005634
Phpat.001G004400.1	
Phpat.001G004500.1	
Phpat.001G004500.2	
Phpat.001G004600.1	GO:0005524,GO:0044267
Phpat.001G004600.2	GO:0005524,GO:0044267
Phpat.001G004700.1	GO:0008270,GO:0005622,GO:0005515
Phpat.001G004800.1	
Phpat.001G004900.1	
Phpat.001G004900.2	
Phpat.001G005000.1	
Phpat.001G005100.1	
Phpat.001G005200.1	
Phpat.001G005200.2	
Phpat.001G005300.1	
Phpat.001G005400.1	GO:0016491,GO:0050660,GO:0055114,GO:0009055
Phpat.001G005400.2	GO:0016491,GO:0050660,GO:0055114,GO:0009055
Phpat.001G005400.3	GO:0016491,GO:0050660,GO:0055114,GO:0009055
Phpat.001G005400.4	GO:0016491,GO:0050660,GO:0055114,GO:0009055
Phpat.001G005500.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G005500.2	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G005600.1	GO:0015078,GO:0015991,GO:0033177
Phpat.001G005700.1	GO:0004185,GO:0006508
Phpat.001G005800.1	GO:0008236,GO:0006508
Phpat.001G005900.1	GO:0003677,GO:0008270,GO:0006355
Phpat.001G006000.1	GO:0005524,GO:0009378,GO:0006281,GO:0006310
Phpat.001G006100.1	GO:0015078,GO:0015991,GO:0033179
Phpat.001G006200.1	GO:0042254,GO:0005622
Phpat.001G006300.1	
Phpat.001G006400.1	
Phpat.001G006500.1	GO:0005509
Phpat.001G006500.2	
Phpat.001G006600.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G006700.1	
Phpat.001G006700.2	
Phpat.001G006700.3	
Phpat.001G006800.1	GO:0003677
Phpat.001G006900.1	
Phpat.001G007000.1	
Phpat.001G007100.1	
Phpat.001G007200.1	
Phpat.001G007300.1	GO:0005515
Phpat.001G007400.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G007400.2	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G007500.1	GO:0003824,GO:0043169,GO:0005975,GO:0004553
Phpat.001G007600.1	GO:0016491,GO:0008152,GO:0003854,GO:0016616,GO:0006694,GO:0055114,GO:0003824,GO:0050662,GO:0044237,GO:0009058
Phpat.001G007700.1	GO:0006886,GO:0005783,GO:0016021
Phpat.001G007700.2	GO:0006886,GO:0005783,GO:0016021
Phpat.001G007800.1	GO:0003824,GO:0008152
Phpat.001G007800.2	GO:0003824,GO:0008152
Phpat.001G007900.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Phpat.001G008000.1	
Phpat.001G008000.2	
Phpat.001G008100.1	
Phpat.001G008200.1	GO:0016788,GO:0006629
Phpat.001G008300.1	
Phpat.001G008400.1	
Phpat.001G008500.1	GO:0004427,GO:0009678,GO:0015992,GO:0016020
Phpat.001G008500.2	GO:0004427,GO:0009678,GO:0015992,GO:0016020
Phpat.001G008500.3	GO:0004427,GO:0009678,GO:0015992,GO:0016020
Phpat.001G008600.1	GO:0004427,GO:0009678,GO:0015992,GO:0016020
Phpat.001G008600.2	GO:0004427,GO:0009678,GO:0015992,GO:0016020
Phpat.001G008600.3	GO:0004427,GO:0009678,GO:0015992,GO:0016020
Phpat.001G008700.1	GO:0004427,GO:0009678,GO:0015992,GO:0016020
Phpat.001G008800.1	
Phpat.001G008900.1	GO:0003924,GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.001G009000.1	
Phpat.001G009100.1	
Phpat.001G009200.1	GO:0005524,GO:0004222,GO:0006508,GO:0008270,GO:0016021
Phpat.001G009300.1	
Phpat.001G009400.1	GO:0004553,GO:0005975,GO:0016762,GO:0006073,GO:0005618,GO:0048046
Phpat.001G009400.2	GO:0004553,GO:0005975,GO:0016762,GO:0006073,GO:0005618,GO:0048046
Phpat.001G009400.3	GO:0004553,GO:0005975,GO:0016762,GO:0006073,GO:0005618,GO:0048046
Phpat.001G009500.1	GO:0005515
Phpat.001G009600.1	
Phpat.001G009700.1	GO:0005097,GO:0032313,GO:0005622
Phpat.001G009800.1	
Phpat.001G009900.1	
Phpat.001G009900.2	
Phpat.001G009900.3	
Phpat.001G009900.4	
Phpat.001G009900.5	
Phpat.001G010000.1	GO:0046872,GO:0030001
Phpat.001G010100.1	GO:0046872,GO:0030001
Phpat.001G010200.1	
Phpat.001G010300.1	GO:0000166,GO:0046872,GO:0030001,GO:0003824,GO:0008152
Phpat.001G010300.2	GO:0000166,GO:0046872,GO:0030001,GO:0003824,GO:0008152
