cassava4.1_000001m	GO:0008270,GO:0004842
cassava4.1_000002m	GO:0004842,GO:0008270
cassava4.1_000003m	GO:0005515,GO:0016881,GO:0006464,GO:0005622
cassava4.1_000004m	GO:0005515,GO:0016881,GO:0006464,GO:0005622
cassava4.1_000005m	GO:0005515,GO:0016773
cassava4.1_000006m	GO:0005515,GO:0016881,GO:0006464,GO:0005622
cassava4.1_000007m	GO:0005515,GO:0016881,GO:0006464,GO:0005622
cassava4.1_000008m	GO:0005515
cassava4.1_000009m	GO:0003677,GO:0005524,GO:0003676,GO:0004386,GO:0016787
cassava4.1_000010m	GO:0005515
cassava4.1_000011m	GO:0005515,GO:0016881,GO:0006464,GO:0005622
cassava4.1_000012m	GO:0005515,GO:0016881,GO:0006464,GO:0005622
cassava4.1_000013m	GO:0008104
cassava4.1_000014m	
cassava4.1_000015m	GO:0005515
cassava4.1_000016m	GO:0016032
cassava4.1_000017m	
cassava4.1_000018m	
cassava4.1_000019m	GO:0005515
cassava4.1_000020m	GO:0016773,GO:0005515
cassava4.1_000021m	GO:0005515
cassava4.1_000022m	
cassava4.1_000023m	GO:0005515,GO:0043531
cassava4.1_000024m	
cassava4.1_000025m	
cassava4.1_000026m	
cassava4.1_000027m	
cassava4.1_000028m	
cassava4.1_000029m	GO:0005515,GO:0000398,GO:0005681
cassava4.1_000030m	GO:0000398,GO:0005681,GO:0005515
cassava4.1_000031m	GO:0003824,GO:0008152,GO:0016874,GO:0005524,GO:0003989,GO:0006633
cassava4.1_000032m	
cassava4.1_000033m	GO:0003824,GO:0008152,GO:0016874,GO:0005524,GO:0003989,GO:0006633
cassava4.1_000034m	GO:0001104,GO:0006357,GO:0016592,GO:0016455
cassava4.1_000035m	GO:0003677,GO:0005524,GO:0003676,GO:0004386,GO:0005515,GO:0016818,GO:0006355,GO:0005634
cassava4.1_000036m	GO:0003677,GO:0005524,GO:0003676,GO:0004386,GO:0005515,GO:0016818,GO:0006355,GO:0005634
cassava4.1_000037m	GO:0003677,GO:0005524,GO:0003676,GO:0004386,GO:0005515,GO:0016818,GO:0006355,GO:0005634
cassava4.1_000038m	GO:0008152,GO:0016491,GO:0055114,GO:0015930,GO:0016638,GO:0006537,GO:0006807
cassava4.1_000039m	GO:0008152,GO:0016491,GO:0055114,GO:0015930,GO:0016638,GO:0006537,GO:0006807
cassava4.1_000040m	GO:0016491,GO:0050660,GO:0055114,GO:0008152,GO:0015930,GO:0016638,GO:0006537,GO:0006807
cassava4.1_000041m	GO:0003824,GO:0008152,GO:0016874,GO:0005524,GO:0003989,GO:0006633
cassava4.1_000042m	
cassava4.1_000043m	GO:0005515,GO:0008270
cassava4.1_000044m	GO:0005515
cassava4.1_000045m	GO:0004198,GO:0006508,GO:0005622
cassava4.1_000046m	GO:0008233,GO:0006508,GO:0005634
cassava4.1_000047m	
cassava4.1_000048m	GO:0005515
cassava4.1_000049m	GO:0003723
cassava4.1_000050m	
cassava4.1_000051m	
cassava4.1_000052m	GO:0005515
cassava4.1_000053m	GO:0005515
cassava4.1_000054m	
cassava4.1_000055m	GO:0003723
cassava4.1_000056m	
cassava4.1_000057m	
cassava4.1_000058m	GO:0005515,GO:0006915,GO:0005524
cassava4.1_000059m	
cassava4.1_000060m	GO:0005515,GO:0003677,GO:0005634,GO:0047134,GO:0055114
cassava4.1_000061m	GO:0008152,GO:0016491,GO:0055114,GO:0015930,GO:0006537,GO:0006807,GO:0016638
cassava4.1_000062m	
cassava4.1_000063m	GO:0005515
cassava4.1_000064m	GO:0016773,GO:0035004,GO:0004428,GO:0048015,GO:0046854
cassava4.1_000065m	
cassava4.1_000066m	GO:0016491,GO:0055114,GO:0005515
cassava4.1_000067m	
